# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed May 16 12:01:31 2018
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Distance to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Distance to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Distance to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Candidate to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Candidate to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Candidate to Stellar Radius Limit Flag
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radeerr1:    Candidate Radius Upper Unc. [Earth radii]
# COLUMN pl_radeerr2:    Candidate Radius Lower Unc. [Earth radii]
# COLUMN pl_radelim:     Candidate Radius Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_keperr:      Kepler-band Unc. [mag]
# COLUMN st_keplim:      Kepler-band Limit Flag
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_k2err:       Ks-band (2MASS) Unc. [mag]
# COLUMN st_k2lim:       Ks-band (2MASS) Limit Flag
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
1,EPIC 201110617,EPIC 201110617.01,K2-156 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,12h10m48.04s,182.700180,-06d17m39.1s,-6.294205,0.81314900,0.00005000,-0.00004900,0,2457583.140930,0.002797,-0.002788,0,4.420602,0.671284,-1.136385,0,0.01704,0.00139,-0.00114,0,1.144,0.100,-0.083,0,0.62,0.02,-0.02,0,12.947,,0,10.391,0.023,0
2,EPIC 201111557,EPIC 201111557.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,12h15m23.17s,183.846542,-06d16m05.7s,-6.268236,2.30236800,0.00010500,-0.00010300,0,2457583.162060,0.002087,-0.002129,0,12.619867,2.838328,-8.018827,0,0.01692,0.00674,-0.00148,0,1.313,0.524,-0.121,0,0.71,0.02,-0.02,0,11.363,,0,9.220,0.019,0
3,EPIC 201126503,EPIC 201126503.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h43m45.22s,175.938416,-05d52m22.8s,-5.873002,1.19474880,,,0,2456810.382000,,,0,,,,,0.06005,,,0,4.190,,,0,0.57,,,0,17.275,,0,14.230,0.070,0
4,EPIC 201127519,EPIC 201127519.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,12h05m29.30s,181.372070,-05d50m53.1s,-5.848084,6.17836900,0.00019500,-0.00017200,0,2457585.551310,0.001116,-0.001211,0,17.277258,1.123995,-2.045780,0,0.11511,0.00492,-0.00336,0,9.913,0.529,-0.362,0,0.79,0.03,-0.02,0,11.558,,0,9.430,0.021,0
5,EPIC 201130233,EPIC 201130233.01,K2-157 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,12h15m00.32s,183.751343,-05d46m55.2s,-5.781991,0.36525700,0.00002900,-0.00002900,0,2457582.823890,0.003237,-0.003292,0,1.876041,0.317378,-0.379152,0,0.01105,0.00143,-0.00097,0,1.055,0.147,-0.098,0,0.88,0.05,-0.03,0,12.604,,0,10.980,0.023,0
6,EPIC 201132684,EPIC 201132684.01,K2-158 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,10.06210600,0.00227000,-0.00222800,0,2457590.481730,0.009560,-0.009157,0,17.602997,2.857394,-5.826397,0,0.02707,0.00275,-0.00198,0,2.635,0.346,-0.219,0,0.89,0.07,-0.04,0,11.678,,0,9.974,0.021,0
7,EPIC 201155177,EPIC 201155177.01,K2-42 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,1,11h46m39.77s,176.665726,-05d10m18.9s,-5.171913,6.68796000,0.00093000,-0.00093000,0,2456814.676300,0.005200,-0.005200,0,,,,,0.03040,0.00280,-0.00280,0,2.150,0.240,-0.240,0,0.64,0.04,-0.04,0,14.632,,0,12.284,0.019,0
8,EPIC 201155177,EPIC 201155177.01,K2-42 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h46m39.77s,176.665726,-05d10m18.9s,-5.171913,6.68743520,,,0,2456814.676000,,,0,,,,,0.03239,,,0,2.790,,,0,0.69,,,0,14.632,,0,12.284,0.019,0
9,EPIC 201166680,EPIC 201166680.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,18.10549000,0.01008300,-0.01289700,0,2457598.193300,0.020571,-0.015611,0,26.263676,5.294142,-8.940986,0,0.01572,0.00173,-0.00119,0,2.100,0.306,-0.201,0,1.22,0.12,-0.07,0,10.897,,0,9.591,0.021,0
10,EPIC 201176672,EPIC 201176672.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h16m36.05s,169.150208,-04d39m23.6s,-4.656546,79.99990000,0.00980000,-0.00980000,0,2456877.804600,0.001500,-0.001500,0,,,,,0.18000,0.01100,-0.01100,0,10.200,2.100,-2.100,0,0.51,0.10,-0.10,0,13.980,,0,11.604,0.023,0
